"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 26 18:13:45 UTC 2025","Mon May 26 18:13:45 UTC 2025","104","tests","test_api","","","","test_delete_post","Expected Failure Test: Attempt to delete a post (simulated)"
"passed","Mon May 26 18:13:45 UTC 2025","Mon May 26 18:13:45 UTC 2025","20","tests","test_api","","","","test_get_post_schema_validation","
    Test: Validate the schema of the retrieved post data
    Purpose: Ensure the API response adheres to the expected schema (positive test)
    Expected Result: HTTP 200 OK, and response matches Pydantic model
    "
"passed","Mon May 26 18:13:56 UTC 2025","Mon May 26 18:13:57 UTC 2025","1168","tests","test_ui_forms","","","","test_login_form_success"," UI Test: Validate successful login using Page Object Model (POM) with Playwright "
"passed","Mon May 26 18:13:45 UTC 2025","Mon May 26 18:13:45 UTC 2025","217","tests","test_api","","","","test_create_post[Travis Clark-QA Tester]","
    Test: Create a new post via POST with various payloads
    Purpose: Validate that the API successfully accepts new post data (positive test)
    Expected Result: HTTP 201 Created, and response includes submitted data
    "
"passed","Mon May 26 18:13:48 UTC 2025","Mon May 26 18:13:49 UTC 2025","1396","tests","test_ui","","","","test_navigation_click"," UI Test: Click a link and verify navigation "
"passed","Mon May 26 18:13:57 UTC 2025","Mon May 26 18:13:58 UTC 2025","949","tests","test_ui_forms","","","","test_login_form_failure"," UI Test: Validate failed login using Page Object Model "
"passed","Mon May 26 18:13:45 UTC 2025","Mon May 26 18:13:45 UTC 2025","27","tests","test_api","","","","test_get_post_jsonschema_validation","
    Test: Validate the JSON schema of the retrieved post data
    Purpose: Ensure the API response adheres to the expected schema (defined above) (positive test)
    Expected Result: HTTP 200 OK, and response matches JSON schema
    "
"passed","Mon May 26 18:13:44 UTC 2025","Mon May 26 18:13:44 UTC 2025","24","tests","test_api","","","","test_post_not_found[99999]","
    Test: Attempt to retrieve non-existent posts
    Purpose: Validate the API correctly handles invalid post requests (negative test)
    Expected Result: HTTP 404 Not Found or empty response with HTTP 200 (JSONPlaceholder returns 200)
    "
"passed","Mon May 26 18:13:44 UTC 2025","Mon May 26 18:13:45 UTC 2025","250","tests","test_api","","","","test_create_post[Jake Fernanded-Software Engineer]","
    Test: Create a new post via POST with various payloads
    Purpose: Validate that the API successfully accepts new post data (positive test)
    Expected Result: HTTP 201 Created, and response includes submitted data
    "
"passed","Mon May 26 18:13:44 UTC 2025","Mon May 26 18:13:44 UTC 2025","45","tests","test_api","","","","test_get_post[1]","
    Test: Retrieve a post by ID
    Purpose: Validate the API returns correct post data for multiple valid IDs (positive test)
    Expected Result: HTTP 200 OK, and response contains expected post fields
    "
"passed","Mon May 26 18:13:49 UTC 2025","Mon May 26 18:13:56 UTC 2025","6789","tests","test_ui_dynamic","","","","test_dynamic_content_loading","UI Test: Verify content appears after dynamic load completes."
"passed","Mon May 26 18:13:44 UTC 2025","Mon May 26 18:13:44 UTC 2025","224","tests","test_api","","","","test_get_post[5]","
    Test: Retrieve a post by ID
    Purpose: Validate the API returns correct post data for multiple valid IDs (positive test)
    Expected Result: HTTP 200 OK, and response contains expected post fields
    "
"skipped","Mon May 26 18:13:45 UTC 2025","Mon May 26 18:13:45 UTC 2025","0","tests","test_api","","","","test_update_post","Skipped Test: Placeholder for future PUT request test"
"passed","Mon May 26 18:13:44 UTC 2025","Mon May 26 18:13:44 UTC 2025","28","tests","test_api","","","","test_post_not_found[-1]","
    Test: Attempt to retrieve non-existent posts
    Purpose: Validate the API correctly handles invalid post requests (negative test)
    Expected Result: HTTP 404 Not Found or empty response with HTTP 200 (JSONPlaceholder returns 200)
    "
"passed","Mon May 26 18:13:44 UTC 2025","Mon May 26 18:13:44 UTC 2025","22","tests","test_api","","","","test_get_post[10]","
    Test: Retrieve a post by ID
    Purpose: Validate the API returns correct post data for multiple valid IDs (positive test)
    Expected Result: HTTP 200 OK, and response contains expected post fields
    "
"passed","Mon May 26 18:13:44 UTC 2025","Mon May 26 18:13:44 UTC 2025","32","tests","test_api","","","","test_post_not_found[0]","
    Test: Attempt to retrieve non-existent posts
    Purpose: Validate the API correctly handles invalid post requests (negative test)
    Expected Result: HTTP 404 Not Found or empty response with HTTP 200 (JSONPlaceholder returns 200)
    "
"passed","Mon May 26 18:13:45 UTC 2025","Mon May 26 18:13:45 UTC 2025","251","tests","test_api","","","","test_create_post[Karl Storz-CEO]","
    Test: Create a new post via POST with various payloads
    Purpose: Validate that the API successfully accepts new post data (positive test)
    Expected Result: HTTP 201 Created, and response includes submitted data
    "
"passed","Mon May 26 18:13:45 UTC 2025","Mon May 26 18:13:48 UTC 2025","2297","tests","test_ui","","","","test_homepage_title"," UI Test: Verify the page title of example.com "
